x,y,p,xt,yt,time
0,0,0,0,0,0
-527.073074341,-247.323043823,0.3583984375,-0.322834645669,-0.259842519685,2782225
-527.439743042,-248.175125122,0.36328125,-0.307086614173,-0.244094488189,2782230
-528.081420898,-248.779815674,0.3623046875,-0.307086614173,-0.228346456693,2782235
-528.998092651,-249.192123413,0.36669921875,-0.307086614173,-0.212598425197,2782240
-530.31199646,-249.439498901,0.390625,-0.307086614173,-0.196850393701,2782245
-531.870346069,-249.631896973,0.43115234375,-0.307086614173,-0.196850393701,2782250
-533.703704834,-249.549438477,0.46435546875,-0.307086614173,-0.181102362205,2782255
-535.781494141,-249.219604492,0.4873046875,-0.307086614173,-0.181102362205,2782260
-538.164855957,-248.587417603,0.50244140625,-0.307086614173,-0.181102362205,2782265
-540.731552124,-247.707855225,0.5185546875,-0.291338582677,-0.181102362205,2782270
-543.359359741,-246.608383179,0.52880859375,-0.291338582677,-0.181102362205,2782275
-546.017715454,-245.31652832,0.537109375,-0.275590551181,-0.181102362205,2782280
-548.584411621,-243.804763794,0.54345703125,-0.259842519685,-0.181102362205,2782285
-550.998321533,-242.073120117,0.546875,-0.244094488189,-0.181102362205,2782290
-553.290008545,-240.14906311,0.54736328125,-0.228346456693,-0.196850393701,2782295
-555.337249756,-238.005111694,0.54736328125,-0.212598425197,-0.196850393701,2782300
-556.98727417,-235.696258545,0.54736328125,-0.196850393701,-0.212598425197,2782305
-558.301177979,-233.140014648,0.5498046875,-0.181102362205,-0.212598425197,2782310
-559.126190186,-230.391357422,0.55029296875,-0.181102362205,-0.228346456693,2782315
-559.584518433,-227.422821045,0.55126953125,-0.165354330709,-0.228346456693,2782320
-559.553970337,-224.289352417,0.55224609375,-0.165354330709,-0.244094488189,2782325
-559.003952026,-220.963500977,0.55517578125,-0.165354330709,-0.259842519685,2782330
-557.965057373,-217.445220947,0.56005859375,-0.165354330709,-0.259842519685,2782336
-556.284484863,-213.87197876,0.5673828125,-0.165354330709,-0.259842519685,2782340
-554.084457397,-210.326217651,0.57275390625,-0.165354330709,-0.275590551181,2782346
